Comune,npop
,NA
Abbadia San Salvatore,6553
Abetone,666
Agliana,17386
Altopascio,15416
Anghiari,5641
Arcidosso,4362
Arezzo,99232
Asciano,7222
Aulla,11339
Badia Tedalda,1072
Bagni di Lucca,6266
Bagno a Ripoli,25538
Bagnone,1872
Barberino di Mugello,10840
Barberino Val d'Elsa,4405
Barga,10156
Bibbiena,12512
Bibbona,3204
Bientina,7990
Borgo a Mozzano,7136
Borgo San Lorenzo,18091
Bucine,10103
Buggiano,8815
Buonconvento,3232
Buti,5884
Calci,6494
Calcinaia,12142
Calenzano,17253
Camaiore,32591
Campagnatico,2434
Campi Bisenzio,45279
Campiglia Marittima,13312
Campo nell'Elba,4781
Camporgiano,2244
Cantagallo,3156
Capalbio,4157
Capannoli,6296
Capannori,46508
Capoliveri,3908
Capolona,5429
Capraia e Limite,7579
Capraia Isola,413
Caprese Michelangelo,1491
Careggine,589
Carmignano,14345
Carrara,64234
Casale Marittimo,1125
Casciana Terme,3593
Cascina,44901
Casola in Lunigiana,995
Casole d'Elsa,3930
Castagneto Carducci,8906
Castel del Piano,4665
Castelfiorentino,17842
Castel Focognano,3224
Castelfranco di Sopra,3098
Castelfranco di Sotto,13431
Castell'Azzara,1550
Castellina in Chianti,2879
Castellina Marittima,2041
Castelnuovo Berardenga,9115
Castelnuovo di Garfagn.,6020
Castelnuovo di V. Cecina,2284
Castel San Niccol<f2>,2764
Castiglion della Pescaia,7383
Castiglione di Garfagn.,1852
Castiglione d'Orcia,2421
Castiglion Fibocchi,2244
Castiglion Fiorentino,13386
Cavriglia,9633
Cecina,28111
Cerreto Guidi,10735
Certaldo,16076
Cetona,2813
Chianciano Terme,7112
Chianni,1437
Chiesina Uzzanese,4533
Chitignano,904
Chiusdino,1925
Chiusi,8781
Chiusi della Verna,2052
Cinigiano,2672
Civitella in Val di Chiana,9091
Civitella Paganico,3237
Collesalvetti,16843
Colle Val d'Elsa,21678
Comano,757
Coreglia Antelminelli,5255
Cortona,22607
Crespina,4254
Cutigliano,1527
Dicomano,5642
Empoli,47904
Fabbriche di Vallico,501
Fauglia,3668
Fiesole,14098
Figline Valdarno,17136
Filattiera,2384
Firenze,377207
Firenzuola,4844
Fivizzano,8163
Foiano della Chiana,9552
Follonica,21762
Forte dei Marmi,7713
Fosciandora,610
Fosdinovo,4963
Fucecchio,23515
Gaiole in Chianti,2812
Gallicano,3861
Gambassi Terme,4860
Gavorrano,8806
Giuncugnano,481
Greve in Chianti,14035
Grosseto,81536
Guardistallo,1270
Impruneta,14594
Incisa in Val d'Arno,6530
Isola del Giglio,1428
Lajatico,1372
Lamporecchio,7565
Larciano,6395
Lari,8943
Lastra a Signa,19722
Laterina,3516
Licciana Nardi,4953
Livorno,160512
Londa,1845
Lorenzana,1194
Loro Ciuffenna,5833
Lucca,89204
Lucignano,3631
Magliano in Toscana,3667
Manciano,7387
Marciana,2246
Marciana Marina,1975
Marciano della Chiana,3462
Marliana,3187
Marradi,3192
Massa,70202
Massa e Cozzile,7965
Massa Marittima,8665
Massarosa,22541
Minucciano,2153
Molazzana,1110
Monsummano Terme,21393
Montaione,3726
Montalcino,5127
Montale,10794
Monte Argentario,12939
Montecarlo,4492
Montecatini Terme,20255
Montecatini Val  Cecina,1793
Montelupo Fiorentino,13970
Montemignaio,558
Montemurlo,18426
Montepulciano,14290
Monterchi,1778
Monteriggioni,9594
Monteroni d'Arbia,9046
Monterotondo Marittimo,1369
Monte San Savino,8825
Montescudaio,2146
Montespertoli,13614
Montevarchi,24502
Monteverdi Marittimo,767
Monticiano,1553
Montieri,1232
Montignoso,10169
Montopoli in Val d'Arno,11186
Mulazzo,2513
Murlo,2404
Orbetello,14917
Orciano Pisano,657
Ortignano Raggiolo,883
Palaia,4611
Palazzuolo sul Senio,1169
Peccioli,4931
Pelago,7682
Pergine Valdarno,3200
Pescaglia,3598
Pescia,19680
Piancastagnaio,4275
Pian di Sc<f2>,6526
Piazza al Serchio,2439
Pienza,2125
Pietrasanta,24237
Pieve a Nievole,9369
Pieve Fosciana,2402
Pieve Santo Stefano,3184
Piombino,34535
Pisa,88627
Pistoia,90192
Piteglio,1713
Pitigliano,3878
Podenzana,2195
Poggibonsi,29262
Poggio a Caiano,10019
Pomarance,5985
Ponsacco,15609
Pontassieve,20646
Ponte Buggianese,8803
Pontedera,28915
Pontremoli,7524
Poppi,6265
Porcari,8863
Porto Azzurro,3733
Portoferraio,12027
Prato,191268
Pratovecchio,3092
Quarrata,25846
Radda in Chianti,1666
Radicofani,1145
Radicondoli,928
Rapolano Terme,5271
Reggello,16314
Rignano sull'Arno,8708
Rio Marina,2233
Rio nell'Elba,1212
Riparbella,1630
Roccalbegna,1069
Roccastrada,9303
Rosignano Marittimo,31866
Rufina,7469
Sambuca Pistoiese,1708
San Casciano dei Bagni,1655
San Gimignano,7768
San Giovanni d'Asso,882
San Giovanni Valdarno,17159
San Giuliano Terme,31315
San Godenzo,1191
San Marcello Pistoiese,6606
San Miniato,28072
San Piero a Sieve,4302
San Quirico d'Orcia,2684
San Romano in Garfagn.,1424
Sansepolcro,16109
Santa Croce sull'Arno,14528
Santa Fiora,2643
Santa Luce,1724
Santa Maria a Monte,13197
San Vincenzo,7007
Sarteano,4749
Sassetta,532
Scandicci,50416
Scansano,4559
Scarlino,3873
Scarperia,7835
S.Casciano Val di Pesa,17168
Seggiano,987
Semproniano,1112
Seravezza,13221
Serravalle Pistoiese,11677
Sestino,1401
Sesto Fiorentino,49093
Siena,54126
Signa,19376
Sillano,660
Sinalunga,12806
Sorano,3506
Sovicille,10176
Stazzema,3264
Stia,2856
Subbiano,6336
Suvereto,3115
Talla,1109
Tavarnelle Val di Pesa,7815
Terranuova Bracciolini,12401
Terricciola,4581
Torrita di Siena,7499
Trequanda,1313
Tresana,2083
Uzzano,5713
Vaglia,5067
Vagli Sotto,986
Vaiano,9913
Vecchiano,12302
Vergemoli,317
Vernio,6118
Viareggio,63447
Vicchio,8263
Vicopisano,8599
Villa Basilica,1676
Villa Collemandina,1367
Villafranca in Lunigiana,4831
Vinci,14666
Volterra,10760
Zeri,1148
